0.00.210.201 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.210.407 W srv  llama_server: -----------------
0.00.210.409 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.210.409 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.210.409 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.210.409 W srv  llama_server: -----------------
0.00.211.580 I srv    load_model: loading model '/home/funboy/models/gguf/qwen38-flash-next-agenticrequant/trunk-q5k-00001-of-00003.gguf'
0.15.374.357 W read_raw_unsafe: Falling back to buffered IO due to Bad address
0.39.360.582 W read_raw_unsafe: Falling back to buffered IO due to Bad address
1.34.616.509 I cmn          init: llama threadpool init, n_threads = 16
1.35.299.148 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
1.35.299.183 W srv    load_model: LLAMA_TRACE = 1
1.35.308.167 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.35.308.219 I srv  llama_server: model loaded
1.35.308.224 I srv  llama_server: listening on http://127.0.0.1:18431
1.35.625.111 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
9.54.732.909 I slot print_timing: id  0 | task 12810 | n_gen =   2146, tg =  30.86 t/s, tg_3s =  30.67 t/s
9.57.735.835 I slot print_timing: id  0 | task 12810 | n_gen =   2238, tg =  30.85 t/s, tg_3s =  30.64 t/s
10.00.746.409 I slot print_timing: id  0 | task 12810 | n_gen =   2330, tg =  30.84 t/s, tg_3s =  30.56 t/s
10.03.748.967 I slot print_timing: id  0 | task 12810 | n_gen =   2422, tg =  30.83 t/s, tg_3s =  30.64 t/s
10.06.763.808 I slot print_timing: id  0 | task 12810 | n_gen =   2514, tg =  30.82 t/s, tg_3s =  30.52 t/s
10.09.774.730 I slot print_timing: id  0 | task 12810 | n_gen =   2606, tg =  30.81 t/s, tg_3s =  30.56 t/s
10.12.785.419 I slot print_timing: id  0 | task 12810 | n_gen =   2698, tg =  30.80 t/s, tg_3s =  30.56 t/s
10.15.803.258 I slot print_timing: id  0 | task 12810 | n_gen =   2790, tg =  30.79 t/s, tg_3s =  30.49 t/s
10.18.820.304 I slot print_timing: id  0 | task 12810 | n_gen =   2882, tg =  30.78 t/s, tg_3s =  30.49 t/s
10.21.833.577 I slot print_timing: id  0 | task 12810 | n_gen =   2974, tg =  30.77 t/s, tg_3s =  30.53 t/s
10.24.854.434 I slot print_timing: id  0 | task 12810 | n_gen =   3066, tg =  30.76 t/s, tg_3s =  30.45 t/s
10.27.873.958 I slot print_timing: id  0 | task 12810 | n_gen =   3158, tg =  30.75 t/s, tg_3s =  30.47 t/s
10.30.892.920 I slot print_timing: id  0 | task 12810 | n_gen =   3250, tg =  30.75 t/s, tg_3s =  30.47 t/s
10.33.820.255 I slot print_timing: id  0 | task 12810 | prompt eval time =    2455.94 ms /  1062 tokens (    2.31 ms per token,   432.42 tokens per second)
10.33.820.258 I slot print_timing: id  0 | task 12810 |        eval time =  108601.82 ms /  3339 tokens (   32.53 ms per token,    30.74 tokens per second)
10.33.820.259 I slot print_timing: id  0 | task 12810 |       total time =  111057.77 ms /  4401 tokens
10.33.820.260 I slot print_timing: id  0 | task 12810 |    graphs reused =      16055
10.33.820.325 I slot      release: id  0 | task 12810 | stop processing: n_tokens = 4400, truncated = 0
10.33.880.156 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 237111775301
10.33.962.449 I slot launch_slot_: id  0 | task 16151 | processing task, is_child = 0
10.40.373.655 I slot print_timing: id  0 | task 16151 | n_gen =    100, tg =  30.86 t/s, tg_3s =  31.17 t/s
10.43.398.925 I slot print_timing: id  0 | task 16151 | n_gen =    194, tg =  30.96 t/s, tg_3s =  31.07 t/s
10.46.402.288 I slot print_timing: id  0 | task 16151 | n_gen =    287, tg =  30.96 t/s, tg_3s =  30.97 t/s
10.49.405.586 I slot print_timing: id  0 | task 16151 | n_gen =    380, tg =  30.96 t/s, tg_3s =  30.97 t/s
10.52.413.161 I slot print_timing: id  0 | task 16151 | n_gen =    473, tg =  30.96 t/s, tg_3s =  30.92 t/s
10.55.433.512 I slot print_timing: id  0 | task 16151 | n_gen =    566, tg =  30.93 t/s, tg_3s =  30.79 t/s
10.58.449.237 I slot print_timing: id  0 | task 16151 | n_gen =    659, tg =  30.92 t/s, tg_3s =  30.84 t/s
11.01.467.528 I slot print_timing: id  0 | task 16151 | n_gen =    752, tg =  30.90 t/s, tg_3s =  30.81 t/s
11.04.471.255 I slot print_timing: id  0 | task 16151 | n_gen =    844, tg =  30.87 t/s, tg_3s =  30.63 t/s
11.07.501.560 I slot print_timing: id  0 | task 16151 | n_gen =    937, tg =  30.85 t/s, tg_3s =  30.69 t/s
11.10.509.006 I slot print_timing: id  0 | task 16151 | n_gen =   1029, tg =  30.83 t/s, tg_3s =  30.59 t/s
11.13.539.739 I slot print_timing: id  0 | task 16151 | n_gen =   1122, tg =  30.82 t/s, tg_3s =  30.69 t/s
11.16.567.594 I slot print_timing: id  0 | task 16151 | n_gen =   1215, tg =  30.81 t/s, tg_3s =  30.71 t/s
11.19.568.387 I slot print_timing: id  0 | task 16151 | n_gen =   1307, tg =  30.80 t/s, tg_3s =  30.66 t/s
11.22.592.233 I slot print_timing: id  0 | task 16151 | n_gen =   1400, tg =  30.80 t/s, tg_3s =  30.76 t/s
11.25.617.849 I slot print_timing: id  0 | task 16151 | n_gen =   1493, tg =  30.79 t/s, tg_3s =  30.74 t/s
11.28.650.403 I slot print_timing: id  0 | task 16151 | n_gen =   1586, tg =  30.79 t/s, tg_3s =  30.67 t/s
11.31.677.454 I slot print_timing: id  0 | task 16151 | n_gen =   1679, tg =  30.78 t/s, tg_3s =  30.72 t/s
11.34.705.086 I slot print_timing: id  0 | task 16151 | n_gen =   1772, tg =  30.78 t/s, tg_3s =  30.72 t/s
11.37.711.752 I slot print_timing: id  0 | task 16151 | n_gen =   1864, tg =  30.77 t/s, tg_3s =  30.60 t/s
11.40.714.131 I slot print_timing: id  0 | task 16151 | n_gen =   1956, tg =  30.76 t/s, tg_3s =  30.64 t/s
11.43.725.256 I slot print_timing: id  0 | task 16151 | n_gen =   2048, tg =  30.75 t/s, tg_3s =  30.55 t/s
11.46.728.173 I slot print_timing: id  0 | task 16151 | n_gen =   2140, tg =  30.75 t/s, tg_3s =  30.64 t/s
11.49.729.153 I slot print_timing: id  0 | task 16151 | n_gen =   2232, tg =  30.75 t/s, tg_3s =  30.66 t/s
11.52.742.526 I slot print_timing: id  0 | task 16151 | n_gen =   2324, tg =  30.74 t/s, tg_3s =  30.53 t/s
11.55.749.366 I slot print_timing: id  0 | task 16151 | n_gen =   2416, tg =  30.73 t/s, tg_3s =  30.60 t/s
11.58.758.434 I slot print_timing: id  0 | task 16151 | n_gen =   2508, tg =  30.73 t/s, tg_3s =  30.57 t/s
12.01.782.851 I slot print_timing: id  0 | task 16151 | n_gen =   2600, tg =  30.71 t/s, tg_3s =  30.42 t/s
12.04.799.983 I slot print_timing: id  0 | task 16151 | n_gen =   2692, tg =  30.71 t/s, tg_3s =  30.49 t/s
12.07.817.393 I slot print_timing: id  0 | task 16151 | n_gen =   2784, tg =  30.70 t/s, tg_3s =  30.49 t/s
12.10.844.843 I slot print_timing: id  0 | task 16151 | n_gen =   2876, tg =  30.69 t/s, tg_3s =  30.39 t/s
12.13.864.723 I slot print_timing: id  0 | task 16151 | n_gen =   2968, tg =  30.68 t/s, tg_3s =  30.46 t/s
12.16.866.422 I slot print_timing: id  0 | task 16151 | n_gen =   3059, tg =  30.67 t/s, tg_3s =  30.32 t/s
12.19.891.714 I slot print_timing: id  0 | task 16151 | n_gen =   3151, tg =  30.66 t/s, tg_3s =  30.41 t/s
12.22.918.277 I slot print_timing: id  0 | task 16151 | n_gen =   3243, tg =  30.66 t/s, tg_3s =  30.40 t/s
12.25.921.559 I slot print_timing: id  0 | task 16151 | n_gen =   3334, tg =  30.65 t/s, tg_3s =  30.30 t/s
12.28.925.073 I slot print_timing: id  0 | task 16151 | n_gen =   3425, tg =  30.64 t/s, tg_3s =  30.30 t/s
12.31.925.745 I slot print_timing: id  0 | task 16151 | n_gen =   3516, tg =  30.63 t/s, tg_3s =  30.33 t/s
12.34.935.481 I slot print_timing: id  0 | task 16151 | n_gen =   3607, tg =  30.62 t/s, tg_3s =  30.24 t/s
12.37.967.084 I slot print_timing: id  0 | task 16151 | n_gen =   3699, tg =  30.61 t/s, tg_3s =  30.35 t/s
12.40.995.682 I slot print_timing: id  0 | task 16151 | n_gen =   3791, tg =  30.61 t/s, tg_3s =  30.38 t/s
12.43.998.854 I slot print_timing: id  0 | task 16151 | n_gen =   3882, tg =  30.60 t/s, tg_3s =  30.30 t/s
12.47.026.677 I slot print_timing: id  0 | task 16151 | n_gen =   3974, tg =  30.59 t/s, tg_3s =  30.38 t/s
12.50.029.293 I slot print_timing: id  0 | task 16151 | n_gen =   4065, tg =  30.59 t/s, tg_3s =  30.31 t/s
12.51.061.366 I slot print_timing: id  0 | task 16151 | prompt eval time =    3203.24 ms /  1553 tokens (    2.06 ms per token,   484.82 tokens per second)
12.51.061.369 I slot print_timing: id  0 | task 16151 |        eval time =  133895.66 ms /  4096 tokens (   32.70 ms per token,    30.58 tokens per second)
12.51.061.370 I slot print_timing: id  0 | task 16151 |       total time =  137098.89 ms /  5649 tokens
12.51.061.371 I slot print_timing: id  0 | task 16151 |    graphs reused =      20133
12.51.061.431 I slot      release: id  0 | task 16151 | stop processing: n_tokens = 5648, truncated = 0
12.51.119.680 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 237249016407
12.51.210.935 I slot launch_slot_: id  0 | task 20249 | processing task, is_child = 0
12.55.910.195 I slot print_timing: id  0 | task 20249 | n_gen =    100, tg =  31.48 t/s, tg_3s =  31.80 t/s
12.58.939.150 I slot print_timing: id  0 | task 20249 | n_gen =    196, tg =  31.59 t/s, tg_3s =  31.69 t/s
13.01.967.928 I slot print_timing: id  0 | task 20249 | n_gen =    291, tg =  31.51 t/s, tg_3s =  31.37 t/s
13.04.998.753 I slot print_timing: id  0 | task 20249 | n_gen =    386, tg =  31.47 t/s, tg_3s =  31.34 t/s
13.08.008.215 I slot print_timing: id  0 | task 20249 | n_gen =    480, tg =  31.43 t/s, tg_3s =  31.23 t/s
13.11.018.472 I slot print_timing: id  0 | task 20249 | n_gen =    574, tg =  31.39 t/s, tg_3s =  31.23 t/s
13.14.026.659 I slot print_timing: id  0 | task 20249 | n_gen =    668, tg =  31.37 t/s, tg_3s =  31.25 t/s
13.17.045.715 I slot print_timing: id  0 | task 20249 | n_gen =    762, tg =  31.34 t/s, tg_3s =  31.14 t/s
13.20.060.813 I slot print_timing: id  0 | task 20249 | n_gen =    856, tg =  31.32 t/s, tg_3s =  31.18 t/s
13.23.070.239 I slot print_timing: id  0 | task 20249 | n_gen =    950, tg =  31.32 t/s, tg_3s =  31.24 t/s
13.26.095.944 I slot print_timing: id  0 | task 20249 | n_gen =   1044, tg =  31.29 t/s, tg_3s =  31.07 t/s
13.29.118.054 I slot print_timing: id  0 | task 20249 | n_gen =   1138, tg =  31.28 t/s, tg_3s =  31.10 t/s
13.32.141.744 I slot print_timing: id  0 | task 20249 | n_gen =   1232, tg =  31.26 t/s, tg_3s =  31.09 t/s
13.35.150.176 I slot print_timing: id  0 | task 20249 | n_gen =   1325, tg =  31.24 t/s, tg_3s =  30.91 t/s
13.38.153.216 I slot print_timing: id  0 | task 20249 | n_gen =   1418, tg =  31.22 t/s, tg_3s =  30.97 t/s
13.41.167.573 I slot print_timing: id  0 | task 20249 | n_gen =   1511, tg =  31.20 t/s, tg_3s =  30.85 t/s
13.44.185.967 I slot print_timing: id  0 | task 20249 | n_gen =   1604, tg =  31.17 t/s, tg_3s =  30.81 t/s
13.47.200.455 I slot print_timing: id  0 | task 20249 | n_gen =   1697, tg =  31.16 t/s, tg_3s =  30.85 t/s
13.50.229.112 I slot print_timing: id  0 | task 20249 | n_gen =   1790, tg =  31.13 t/s, tg_3s =  30.71 t/s
13.53.254.143 I slot print_timing: id  0 | task 20249 | n_gen =   1883, tg =  31.11 t/s, tg_3s =  30.74 t/s
13.56.283.076 I slot print_timing: id  0 | task 20249 | n_gen =   1976, tg =  31.09 t/s, tg_3s =  30.70 t/s
13.59.289.636 I slot print_timing: id  0 | task 20249 | n_gen =   2068, tg =  31.07 t/s, tg_3s =  30.60 t/s
14.02.320.331 I slot print_timing: id  0 | task 20249 | n_gen =   2161, tg =  31.05 t/s, tg_3s =  30.69 t/s
14.05.348.230 I slot print_timing: id  0 | task 20249 | n_gen =   2254, tg =  31.04 t/s, tg_3s =  30.71 t/s
14.08.349.962 I slot print_timing: id  0 | task 20249 | n_gen =   2346, tg =  31.03 t/s, tg_3s =  30.65 t/s
14.11.376.566 I slot print_timing: id  0 | task 20249 | n_gen =   2439, tg =  31.01 t/s, tg_3s =  30.73 t/s
14.14.379.510 I slot print_timing: id  0 | task 20249 | n_gen =   2531, tg =  31.00 t/s, tg_3s =  30.64 t/s
14.17.409.373 I slot print_timing: id  0 | task 20249 | n_gen =   2624, tg =  30.99 t/s, tg_3s =  30.69 t/s
14.20.440.215 I slot print_timing: id  0 | task 20249 | n_gen =   2717, tg =  30.98 t/s, tg_3s =  30.68 t/s
14.23.446.359 I slot print_timing: id  0 | task 20249 | n_gen =   2809, tg =  30.97 t/s, tg_3s =  30.60 t/s
14.26.476.910 I slot print_timing: id  0 | task 20249 | n_gen =   2902, tg =  30.96 t/s, tg_3s =  30.69 t/s
14.29.481.107 I slot print_timing: id  0 | task 20249 | n_gen =   2994, tg =  30.95 t/s, tg_3s =  30.62 t/s
14.32.495.015 I slot print_timing: id  0 | task 20249 | n_gen =   3086, tg =  30.93 t/s, tg_3s =  30.53 t/s
14.35.498.851 I slot print_timing: id  0 | task 20249 | n_gen =   3178, tg =  30.92 t/s, tg_3s =  30.63 t/s
14.38.506.088 I slot print_timing: id  0 | task 20249 | n_gen =   3270, tg =  30.92 t/s, tg_3s =  30.59 t/s
14.41.527.343 I slot print_timing: id  0 | task 20249 | n_gen =   3362, tg =  30.90 t/s, tg_3s =  30.45 t/s
14.44.536.637 I slot print_timing: id  0 | task 20249 | n_gen =   3454, tg =  30.89 t/s, tg_3s =  30.57 t/s
14.47.550.343 I slot print_timing: id  0 | task 20249 | n_gen =   3546, tg =  30.88 t/s, tg_3s =  30.53 t/s
14.50.577.729 I slot print_timing: id  0 | task 20249 | n_gen =   3638, tg =  30.87 t/s, tg_3s =  30.39 t/s
14.53.596.826 I slot print_timing: id  0 | task 20249 | n_gen =   3730, tg =  30.86 t/s, tg_3s =  30.47 t/s
14.56.623.214 I slot print_timing: id  0 | task 20249 | n_gen =   3822, tg =  30.85 t/s, tg_3s =  30.40 t/s
14.59.642.958 I slot print_timing: id  0 | task 20249 | n_gen =   3914, tg =  30.84 t/s, tg_3s =  30.47 t/s
15.02.664.012 I slot print_timing: id  0 | task 20249 | n_gen =   4006, tg =  30.83 t/s, tg_3s =  30.45 t/s
15.05.696.304 I slot print_timing: id  0 | task 20249 | n_gen =   4098, tg =  30.82 t/s, tg_3s =  30.34 t/s
15.08.726.284 I slot print_timing: id  0 | task 20249 | n_gen =   4190, tg =  30.81 t/s, tg_3s =  30.36 t/s
15.11.752.419 I slot print_timing: id  0 | task 20249 | n_gen =   4282, tg =  30.80 t/s, tg_3s =  30.40 t/s
15.14.757.333 I slot print_timing: id  0 | task 20249 | n_gen =   4373, tg =  30.79 t/s, tg_3s =  30.28 t/s
15.17.759.865 I slot print_timing: id  0 | task 20249 | n_gen =   4464, tg =  30.78 t/s, tg_3s =  30.31 t/s
15.20.790.591 I slot print_timing: id  0 | task 20249 | n_gen =   4556, tg =  30.77 t/s, tg_3s =  30.36 t/s
15.23.799.275 I slot print_timing: id  0 | task 20249 | n_gen =   4647, tg =  30.76 t/s, tg_3s =  30.25 t/s
15.26.830.308 I slot print_timing: id  0 | task 20249 | n_gen =   4739, tg =  30.75 t/s, tg_3s =  30.35 t/s
15.29.830.760 I slot print_timing: id  0 | task 20249 | n_gen =   4830, tg =  30.75 t/s, tg_3s =  30.33 t/s
15.32.839.709 I slot print_timing: id  0 | task 20249 | n_gen =   4921, tg =  30.74 t/s, tg_3s =  30.24 t/s
15.35.869.775 I slot print_timing: id  0 | task 20249 | n_gen =   5013, tg =  30.73 t/s, tg_3s =  30.36 t/s
15.38.879.914 I slot print_timing: id  0 | task 20249 | n_gen =   5104, tg =  30.72 t/s, tg_3s =  30.23 t/s
15.41.882.382 I slot print_timing: id  0 | task 20249 | n_gen =   5195, tg =  30.71 t/s, tg_3s =  30.31 t/s
15.44.893.018 I slot print_timing: id  0 | task 20249 | n_gen =   5286, tg =  30.70 t/s, tg_3s =  30.23 t/s
15.47.906.333 I slot print_timing: id  0 | task 20249 | n_gen =   5377, tg =  30.70 t/s, tg_3s =  30.20 t/s
15.50.917.965 I slot print_timing: id  0 | task 20249 | n_gen =   5468, tg =  30.69 t/s, tg_3s =  30.22 t/s
15.53.927.740 I slot print_timing: id  0 | task 20249 | n_gen =   5559, tg =  30.68 t/s, tg_3s =  30.23 t/s
15.56.942.537 I slot print_timing: id  0 | task 20249 | n_gen =   5650, tg =  30.67 t/s, tg_3s =  30.18 t/s
15.59.950.785 I slot print_timing: id  0 | task 20249 | n_gen =   5741, tg =  30.66 t/s, tg_3s =  30.25 t/s
16.02.956.933 I slot print_timing: id  0 | task 20249 | n_gen =   5832, tg =  30.66 t/s, tg_3s =  30.27 t/s
16.05.977.479 I slot print_timing: id  0 | task 20249 | n_gen =   5923, tg =  30.65 t/s, tg_3s =  30.13 t/s
16.08.991.797 I slot print_timing: id  0 | task 20249 | n_gen =   6014, tg =  30.64 t/s, tg_3s =  30.19 t/s
16.12.004.542 I slot print_timing: id  0 | task 20249 | n_gen =   6105, tg =  30.64 t/s, tg_3s =  30.20 t/s
16.15.028.732 I slot print_timing: id  0 | task 20249 | n_gen =   6196, tg =  30.63 t/s, tg_3s =  30.09 t/s
16.18.047.653 I slot print_timing: id  0 | task 20249 | n_gen =   6287, tg =  30.62 t/s, tg_3s =  30.14 t/s
16.21.051.828 I slot print_timing: id  0 | task 20249 | n_gen =   6377, tg =  30.61 t/s, tg_3s =  29.96 t/s
16.24.056.694 I slot print_timing: id  0 | task 20249 | n_gen =   6467, tg =  30.60 t/s, tg_3s =  29.95 t/s
16.27.080.977 I slot print_timing: id  0 | task 20249 | n_gen =   6558, tg =  30.60 t/s, tg_3s =  30.09 t/s
16.30.111.058 I slot print_timing: id  0 | task 20249 | n_gen =   6649, tg =  30.59 t/s, tg_3s =  30.03 t/s
16.33.136.636 I slot print_timing: id  0 | task 20249 | n_gen =   6740, tg =  30.58 t/s, tg_3s =  30.08 t/s
16.36.162.824 I slot print_timing: id  0 | task 20249 | n_gen =   6831, tg =  30.57 t/s, tg_3s =  30.07 t/s
16.39.171.722 I slot print_timing: id  0 | task 20249 | n_gen =   6921, tg =  30.56 t/s, tg_3s =  29.91 t/s
16.42.177.070 I slot print_timing: id  0 | task 20249 | n_gen =   7011, tg =  30.56 t/s, tg_3s =  29.95 t/s
16.45.181.167 I slot print_timing: id  0 | task 20249 | n_gen =   7101, tg =  30.55 t/s, tg_3s =  29.96 t/s
16.48.184.921 I slot print_timing: id  0 | task 20249 | n_gen =   7191, tg =  30.54 t/s, tg_3s =  29.96 t/s
16.51.214.442 I slot print_timing: id  0 | task 20249 | n_gen =   7282, tg =  30.53 t/s, tg_3s =  30.04 t/s
16.54.245.947 I slot print_timing: id  0 | task 20249 | n_gen =   7373, tg =  30.53 t/s, tg_3s =  30.02 t/s
16.57.260.124 I slot print_timing: id  0 | task 20249 | n_gen =   7463, tg =  30.52 t/s, tg_3s =  29.86 t/s
17.00.260.841 I slot print_timing: id  0 | task 20249 | n_gen =   7553, tg =  30.51 t/s, tg_3s =  29.99 t/s
17.03.270.465 I slot print_timing: id  0 | task 20249 | n_gen =   7643, tg =  30.51 t/s, tg_3s =  29.90 t/s
17.06.291.250 I slot print_timing: id  0 | task 20249 | n_gen =   7733, tg =  30.50 t/s, tg_3s =  29.79 t/s
17.09.306.922 I slot print_timing: id  0 | task 20249 | n_gen =   7823, tg =  30.49 t/s, tg_3s =  29.84 t/s
17.12.324.289 I slot print_timing: id  0 | task 20249 | n_gen =   7913, tg =  30.48 t/s, tg_3s =  29.83 t/s
17.15.335.217 I slot print_timing: id  0 | task 20249 | n_gen =   8003, tg =  30.48 t/s, tg_3s =  29.89 t/s
17.18.349.290 I slot print_timing: id  0 | task 20249 | n_gen =   8093, tg =  30.47 t/s, tg_3s =  29.86 t/s
17.21.370.370 I slot print_timing: id  0 | task 20249 | n_gen =   8183, tg =  30.46 t/s, tg_3s =  29.79 t/s
17.21.672.219 I slot print_timing: id  0 | task 20249 | prompt eval time =    1554.81 ms /   546 tokens (    2.85 ms per token,   351.17 tokens per second)
17.21.672.222 I slot print_timing: id  0 | task 20249 |        eval time =  268906.45 ms /  8192 tokens (   32.83 ms per token,    30.46 tokens per second)
17.21.672.223 I slot print_timing: id  0 | task 20249 |       total time =  270461.26 ms /  8738 tokens
17.21.672.224 I slot print_timing: id  0 | task 20249 |    graphs reused =      28291
17.21.672.282 I slot      release: id  0 | task 20249 | stop processing: n_tokens = 8737, truncated = 0
17.21.707.033 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.108 (> 0.100 thold), f_keep = 0.006
17.21.815.230 I slot launch_slot_: id  0 | task 28443 | processing task, is_child = 0
17.26.344.117 I slot print_timing: id  0 | task 28443 | n_gen =    100, tg =  31.46 t/s, tg_3s =  31.78 t/s
17.29.369.568 I slot print_timing: id  0 | task 28443 | n_gen =    196, tg =  31.59 t/s, tg_3s =  31.73 t/s
17.32.390.332 I slot print_timing: id  0 | task 28443 | n_gen =    292, tg =  31.65 t/s, tg_3s =  31.78 t/s
17.35.393.910 I slot print_timing: id  0 | task 28443 | n_gen =    386, tg =  31.57 t/s, tg_3s =  31.30 t/s
17.38.423.870 I slot print_timing: id  0 | task 28443 | n_gen =    481, tg =  31.52 t/s, tg_3s =  31.35 t/s
17.41.431.851 I slot print_timing: id  0 | task 28443 | n_gen =    575, tg =  31.48 t/s, tg_3s =  31.25 t/s
17.44.439.769 I slot print_timing: id  0 | task 28443 | n_gen =    669, tg =  31.45 t/s, tg_3s =  31.25 t/s
17.47.450.883 I slot print_timing: id  0 | task 28443 | n_gen =    763, tg =  31.42 t/s, tg_3s =  31.22 t/s
17.50.472.497 I slot print_timing: id  0 | task 28443 | n_gen =    857, tg =  31.38 t/s, tg_3s =  31.11 t/s
17.53.485.204 I slot print_timing: id  0 | task 28443 | n_gen =    951, tg =  31.37 t/s, tg_3s =  31.20 t/s
17.56.498.136 I slot print_timing: id  0 | task 28443 | n_gen =   1045, tg =  31.35 t/s, tg_3s =  31.20 t/s
17.59.525.520 I slot print_timing: id  0 | task 28443 | n_gen =   1139, tg =  31.33 t/s, tg_3s =  31.05 t/s
18.02.551.738 I slot print_timing: id  0 | task 28443 | n_gen =   1233, tg =  31.31 t/s, tg_3s =  31.06 t/s
18.05.553.402 I slot print_timing: id  0 | task 28443 | n_gen =   1326, tg =  31.28 t/s, tg_3s =  30.98 t/s
18.08.557.641 I slot print_timing: id  0 | task 28443 | n_gen =   1419, tg =  31.26 t/s, tg_3s =  30.96 t/s
18.11.559.469 I slot print_timing: id  0 | task 28443 | n_gen =   1512, tg =  31.24 t/s, tg_3s =  30.98 t/s
18.14.573.184 I slot print_timing: id  0 | task 28443 | n_gen =   1605, tg =  31.22 t/s, tg_3s =  30.86 t/s
18.17.594.929 I slot print_timing: id  0 | task 28443 | n_gen =   1698, tg =  31.20 t/s, tg_3s =  30.78 t/s
18.20.618.317 I slot print_timing: id  0 | task 28443 | n_gen =   1791, tg =  31.17 t/s, tg_3s =  30.76 t/s
18.23.620.387 I slot print_timing: id  0 | task 28443 | n_gen =   1883, tg =  31.15 t/s, tg_3s =  30.65 t/s
18.26.620.783 I slot print_timing: id  0 | task 28443 | n_gen =   1975, tg =  31.12 t/s, tg_3s =  30.66 t/s
18.29.622.455 I slot print_timing: id  0 | task 28443 | n_gen =   2067, tg =  31.10 t/s, tg_3s =  30.65 t/s
18.32.654.287 I slot print_timing: id  0 | task 28443 | n_gen =   2160, tg =  31.08 t/s, tg_3s =  30.67 t/s
18.35.680.987 I slot print_timing: id  0 | task 28443 | n_gen =   2253, tg =  31.07 t/s, tg_3s =  30.73 t/s
18.38.700.523 I slot print_timing: id  0 | task 28443 | n_gen =   2346, tg =  31.06 t/s, tg_3s =  30.80 t/s
18.41.726.636 I slot print_timing: id  0 | task 28443 | n_gen =   2439, tg =  31.05 t/s, tg_3s =  30.73 t/s
18.44.751.989 I slot print_timing: id  0 | task 28443 | n_gen =   2532, tg =  31.03 t/s, tg_3s =  30.74 t/s
18.47.752.615 I slot print_timing: id  0 | task 28443 | n_gen =   2624, tg =  31.02 t/s, tg_3s =  30.66 t/s
18.50.757.996 I slot print_timing: id  0 | task 28443 | n_gen =   2716, tg =  31.01 t/s, tg_3s =  30.61 t/s
18.53.758.274 I slot print_timing: id  0 | task 28443 | n_gen =   2808, tg =  31.00 t/s, tg_3s =  30.66 t/s
18.56.765.678 I slot print_timing: id  0 | task 28443 | n_gen =   2900, tg =  30.98 t/s, tg_3s =  30.59 t/s
18.59.769.343 I slot print_timing: id  0 | task 28443 | n_gen =   2992, tg =  30.97 t/s, tg_3s =  30.63 t/s
19.02.774.043 I slot print_timing: id  0 | task 28443 | n_gen =   3084, tg =  30.96 t/s, tg_3s =  30.62 t/s
19.05.783.009 I slot print_timing: id  0 | task 28443 | n_gen =   3176, tg =  30.95 t/s, tg_3s =  30.58 t/s
19.08.790.606 I slot print_timing: id  0 | task 28443 | n_gen =   3268, tg =  30.94 t/s, tg_3s =  30.59 t/s
19.11.799.787 I slot print_timing: id  0 | task 28443 | n_gen =   3360, tg =  30.93 t/s, tg_3s =  30.57 t/s
19.14.816.573 I slot print_timing: id  0 | task 28443 | n_gen =   3452, tg =  30.92 t/s, tg_3s =  30.50 t/s
19.17.829.702 I slot print_timing: id  0 | task 28443 | n_gen =   3544, tg =  30.91 t/s, tg_3s =  30.53 t/s
19.20.852.406 I slot print_timing: id  0 | task 28443 | n_gen =   3636, tg =  30.90 t/s, tg_3s =  30.44 t/s
19.23.866.500 I slot print_timing: id  0 | task 28443 | n_gen =   3728, tg =  30.89 t/s, tg_3s =  30.52 t/s
19.26.881.777 I slot print_timing: id  0 | task 28443 | n_gen =   3820, tg =  30.88 t/s, tg_3s =  30.51 t/s
19.29.905.053 I slot print_timing: id  0 | task 28443 | n_gen =   3912, tg =  30.87 t/s, tg_3s =  30.43 t/s
19.32.927.613 I slot print_timing: id  0 | task 28443 | n_gen =   4004, tg =  30.86 t/s, tg_3s =  30.44 t/s
19.35.950.419 I slot print_timing: id  0 | task 28443 | prompt eval time =    1382.04 ms /   471 tokens (    2.93 ms per token,   340.80 tokens per second)
19.35.950.422 I slot print_timing: id  0 | task 28443 |        eval time =  132753.12 ms /  4096 tokens (   32.42 ms per token,    30.85 tokens per second)
19.35.950.422 I slot print_timing: id  0 | task 28443 |       total time =  134135.16 ms /  4567 tokens
19.35.950.423 I slot print_timing: id  0 | task 28443 |    graphs reused =      32369
19.35.950.464 I slot      release: id  0 | task 28443 | stop processing: n_tokens = 4566, truncated = 0
19.36.112.477 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 237653905439
19.36.195.873 I slot launch_slot_: id  0 | task 32541 | processing task, is_child = 0
